# generated_at: 2026-04-28T00:15:02Z, dataset_version: v202604280010, source: internetinmyanmar.com/data
domain,category,anomaly_count,total,rate
www.facebook.com,Social Media,17280,19328,89
www.instagram.com,Social Media,12360,19068,65
twitter.com,Social Media,11873,19336,61
x.com,Social Media,1441,1904,76
www.whatsapp.com,Social Media,1848,2237,83
www.messenger.com,Social Media,652,737,88
signal.org,Social Media,1437,2209,65
burma.irrawaddy.com,News & Media,1153,1495,77
myanmar-now.org,News & Media,841,1081,78
mizzima.com,News & Media,854,1140,75
burmese.dvb.no,News & Media,843,1277,66
www.rfa.org,News & Media,727,930,78
7day.news,News & Media,1126,1716,66
hiburma.net,News & Media,906,1127,80
burmese.narinjara.com,News & Media,895,1261,71
www.mizzimaburmese.com,News & Media,642,789,81
www.dmgburmese.com,News & Media,670,862,78
www.bnionline.net,News & Media,654,811,81
www.boommyanmar.com,News & Media,715,906,79
www.monnews.org,News & Media,642,791,81
burmacampaign.org.uk,Civil Society,1040,1292,80
www.savemyanmar.org,Civil Society,978,997,98
www.athanmyanmar.org,Civil Society,678,845,80
progressivevoicemyanmar.org,Civil Society,716,926,77
khrg.org,Civil Society,762,1119,68
www.phandeeyar.org,Civil Society,700,787,89
can-myanmar.org,Civil Society,1029,1163,88
nwayoomyanmar.com,Civil Society,1054,1214,87
birmanie.ch,Civil Society,1052,1360,77
api.protonvpn.ch,VPN & Circumvention,1010,1386,73
getoutline.org,VPN & Circumvention,778,1011,77
hide.me,VPN & Circumvention,899,1173,77
psiphon.ca,VPN & Circumvention,690,919,75
openvpn.net,VPN & Circumvention,710,995,71
hola.org,VPN & Circumvention,750,955,79
surfshark.com,VPN & Circumvention,639,917,70
www.tunnelbear.com,VPN & Circumvention,651,789,83
safervpn.com,VPN & Circumvention,683,986,69
www.vpngate.net,VPN & Circumvention,636,730,87
www.hotspotshield.com,VPN & Circumvention,668,856,78
www.ipvanish.com,VPN & Circumvention,633,837,76
privatevpn.com,VPN & Circumvention,637,886,72
